# Profil de Blasius - Comparaison 3 methodes
# Equation : f''' + 0.5*f*f'' = 0
# CL : f(0)=f'(0)=0, f'(inf)=1
# Parametre de similarite : eta = psi * sqrt(U_inf / (nu * xi))
# Vitesse normalisee : u/U_inf = f'(eta)
#
# Colonnes : eta  f'_RK4  f'_RK2  f'_Euler  f_RK4  f''_RK4
#
0.000000  0.00000000  0.00000000  0.00000000  0.00000000  0.33205734
0.005000  0.00166029  0.00166028  0.00165590  0.00000415  0.33205734
0.010000  0.00332057  0.00332057  0.00331181  0.00001660  0.33205733
0.015000  0.00498086  0.00498085  0.00496771  0.00003736  0.33205731
0.020000  0.00664115  0.00664113  0.00662361  0.00006641  0.33205726
0.025000  0.00830143  0.00830142  0.00827951  0.00010377  0.33205719
0.030000  0.00996172  0.00996170  0.00993542  0.00014943  0.33205709
0.035000  0.01162200  0.01162198  0.01159132  0.00020339  0.33205694
0.040000  0.01328229  0.01328226  0.01324722  0.00026565  0.33205675
0.045000  0.01494257  0.01494254  0.01490312  0.00033621  0.33205650
0.050000  0.01660285  0.01660282  0.01655902  0.00041507  0.33205619
0.055000  0.01826313  0.01826310  0.01821492  0.00050224  0.33205581
0.060000  0.01992341  0.01992337  0.01987082  0.00059770  0.33205535
0.065000  0.02158369  0.02158364  0.02152671  0.00070147  0.33205481
0.070000  0.02324396  0.02324391  0.02318261  0.00081354  0.33205419
0.075000  0.02490423  0.02490418  0.02483850  0.00093391  0.33205346
0.080000  0.02656449  0.02656444  0.02649438  0.00106258  0.33205263
0.085000  0.02822475  0.02822470  0.02815027  0.00119956  0.33205169
0.090000  0.02988501  0.02988495  0.02980615  0.00134483  0.33205064
0.095000  0.03154526  0.03154520  0.03146202  0.00149841  0.33204946
0.100000  0.03320550  0.03320544  0.03311789  0.00166028  0.33204815
0.105000  0.03486574  0.03486567  0.03477376  0.00183046  0.33204670
0.110000  0.03652597  0.03652590  0.03642961  0.00200894  0.33204511
0.115000  0.03818619  0.03818612  0.03808546  0.00219572  0.33204336
0.120000  0.03984640  0.03984633  0.03974131  0.00239080  0.33204146
0.125000  0.04150661  0.04150653  0.04139714  0.00259418  0.33203939
0.130000  0.04316680  0.04316672  0.04305296  0.00280587  0.33203715
0.135000  0.04482698  0.04482689  0.04470878  0.00302585  0.33203473
0.140000  0.04648714  0.04648706  0.04636458  0.00325414  0.33203212
0.145000  0.04814730  0.04814721  0.04802037  0.00349072  0.33202933
0.150000  0.04980744  0.04980734  0.04967615  0.00373561  0.33202633
0.155000  0.05146756  0.05146746  0.05133191  0.00398880  0.33202312
0.160000  0.05312767  0.05312757  0.05298766  0.00425029  0.33201970
0.165000  0.05478776  0.05478765  0.05464339  0.00452007  0.33201606
0.170000  0.05644783  0.05644772  0.05629911  0.00479816  0.33201220
0.175000  0.05810788  0.05810777  0.05795481  0.00508455  0.33200810
0.180000  0.05976791  0.05976780  0.05961049  0.00537924  0.33200375
0.185000  0.06142792  0.06142780  0.06126614  0.00568223  0.33199916
0.190000  0.06308790  0.06308778  0.06292178  0.00599352  0.33199432
0.195000  0.06474786  0.06474774  0.06457739  0.00631311  0.33198921
0.200000  0.06640779  0.06640767  0.06623298  0.00664100  0.33198384
0.205000  0.06806770  0.06806757  0.06788855  0.00697719  0.33197819
0.210000  0.06972757  0.06972744  0.06954409  0.00732168  0.33197225
